bibcode;labelDE;name;address - strasse;adresse - nummer;adresse - zusatz;zip;city;country;mail;kontakt - name;kontakt - vorname;kontakt - anrede;kontakt - email;korrespondenzsprache;bfs code;worldcat ja/nein;WorldCat Symbol;CBS Library Code;Verrechnung Kostenbeitrag (Auswahl);Kostenbeitrag basiert auf;Zusage Kostenbeitrag ja/nein;Beitrag 2018;Beitrag 2019;Beitrag 2020;Bemerkung Kostenbeitrag;Rechnungsadresse = Postadresse ja/nein;Rechnungsadresse - name;Rechnungsadresse - strasse;Rechnungsadresse - nummer;Rechnungsadresse - zusatz;Rechnungsadresse - plz;Rechnungsadresse - ort;Rechnungsadresse - country;Kontakt Rechnung - Name;Kontakt Rechnung - Vorname;Kontakt Rechnung - Anrede;Kontakt Rechnung - mail;mwst ja/nein;Grund Mehrwertsteuerbefreiung;e-rechnung ja/nein;Bemerkung Rechnungsstellung;Koordinaten;admininstitution bfs code;Kostenbeitrag über Verbund / Zugehörigkeit;Kostenbeitrag über Uni/FH - Uni;Zugehörigkeit Institution;SAP - Name 1 (35 Zeichen);SAP - Name 2 (35 Zeichen);SAP - Name 3 (35 Zeichen);SAP - Name 4 (35 Zeichen)
A188;Uni Basel - DUW Botanik Pflanzenökologie;Universität Basel, Botanisches Institut, Abteilung Pflanzenökologie;Schönbeinstr. ;6;;4056;Basel;ch;sekretariat-botschoen@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5587546, 7.5810184;U2001;;UNIBASV;UNIBASV;;;;
A189;Uni Basel - DUW Botanik Pflanzenphysiologie;Universität Basel, Botanisches Institut, Abteilung Pflanzenphysiologie;Hebelstr. ;1;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A190;Uni Basel - Deutsches Seminar;Universität Basel, Deutsches Seminar;Nadelberg ;4;;4051;Basel;ch;germa-bibliothek-dslw@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5587043, 7.585362;U2001;;UNIBASV;UNIBASV;;;;
A191;Uni Basel - Nordistik;;Nadelberg ;6;;4051;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A192;Uni Basel - Englisches Seminar;Universität Basel, Englisches Seminar;Nadelberg ;6;;4051;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5583522, 7.5854644;U2001;;UNIBASV;UNIBASV;;;;
A196;Uni Basel - Rechtsmedizin;Universität Basel, Institut für Rechtsmedizin;Pestalozzistr. ;22;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5646672, 7.5795141;U2001;;UNIBASV;UNIBASV;;;;
A198;Uni Basel - DUW Geographie;Universität Basel, Departement Umweltwissenschaften, Geographie;Klingelbergstr. ;27;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.561734, 7.5805162;U2001;;UNIBASV;UNIBASV;;;;
A200;Uni Basel - DUW Geologie, Paläontologie;Universität Basel, Geologisch-paläontologisches Institut;Bernoullistr. ;32;;4056;Basel;ch;bibliothek-geologie@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5604659, 7.5805261;U2001;;UNIBASV;UNIBASV;;;;
A201;Uni Basel - DUW Umweltgeowissenschaften;Institut für Umweltgeowissenschaften, Basel;Bernoullistrasse ;30;;4056;Basel;ch;bibliothek-geologie@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5602573, 7.580559;U2001;;UNIBASV;UNIBASV;;;;
A202;Uni Basel - Geschichte;Universität Basel, Departement Geschichte;Hirschgässlein ;21;;4051;Basel;ch;bibliothek-geschichte@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5507371, 7.5927619;U2001;;UNIBASV;UNIBASV;;;;
A204;Uni Basel - Physik;Universität Basel, Departement für Physik;Klingelbergstr. ;82;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5647311, 7.5786904;U2001;;UNIBASV;UNIBASV;;;;
A206;Uni Basel - Psychologie;Universität Basel, Fakultät für Psychologie;Missionsstrasse;60/62;;4055;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5612094, 7.5754524;U2001;;UNIBASV;UNIBASV;;;;
A208;Uni Basel - Juristische Fakultät;Universität Basel, Juristische Fakultät;Peter Merian-Weg ;8;;4002;Basel;ch;biblio-ius@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5454028, 7.597017;U2001;;UNIBASV;UNIBASV;;;;
A214;Kantonales Laboratorium, Basel;Kantonales Laboratorium, Basel;Kannenfeldstr. ;2;;4012;Basel;ch;sekr.kantonslabor@bs.ch;Hübner;Philipp;Herr;philipp.hübner@bs.ch;g;;;ESW;8001;direkt;Freiwilliger Beitrag;ja;25;50;50;;ja;;;;;;;;;;;;nein;Gemeinwesen;nein;;47.5621823, 7.574166;;;;;Kantonales Laboratorium;;;
A216;Uni Basel - Mathematik;Mathematisches Institut, Basel;Spiegelgasse ;3;;4051;Basel;ch;bibliothek-math@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5601352, 7.5869421;U2001;;UNIBASV;UNIBASV;;;;
A220;Uni Basel - Bio- und Medizinethik;Institut für Bio- und Medizinethik der Universität Basel;Bernoullistrasse ;28;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5601954, 7.5810569;U2001;;UNIBASV;UNIBASV;;;;
A222;Uni Basel - Biomedizin;Universität Basel, Departement Biomedizin, Haus Petersplatz;Petersplatz ;10;;4003;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.558701, 7.582262;U2001;;UNIBASV;UNIBASV;;;;
A224;Uni Basel - DUW Mineralogie, Petrographie;Mineralogisch-petrographisches Institut, Basel;Bernoullistr. ;30;;4056;Basel;ch;bibliothek-geologie@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5602573, 7.580559;U2001;;UNIBASV;UNIBASV;;;;
A226;Uni Basel - Musikwissenschaftliches Seminar;Musikwissenschaftliches Seminar, Basel;Petersgraben ;27;;4051;Basel;ch;sekretariat-mws@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5590491, 7.584574;U2001;;UNIBASV;UNIBASV;;;;
A228;Uni Basel - Chemie;Universität Basel, Departement Chemie;St. Johanns-Ring ;19;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5654135, 7.5796622;U2001;;UNIBASV;UNIBASV;;;;
A230;Uni Basel - Nahoststudien;Uni Basel - Seminar für Nahoststudien;Maiengasse;51-53;;4056;Basel;ch;bibliothek-maiengasse@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5611345, 7.5779901;U2001;;UNIBASV;UNIBASV;;;;
A232;Uni Basel - Pathologie;Universität Basel, Institut für Pathologie;Schönbeinstr. ;40;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5605725, 7.5816159;U2001;;UNIBASV;UNIBASV;;;;
A235;Uni Basel - Pharmazeutische Biologie;;Klingelbergstrasse ;50;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A236;Uni Basel - Molekulare Pharmazie;;Klingelbergstrasse ;50;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A237;Uni Basel - Pharmazeutische Technologie;;Klingelbergstr. ;50;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A238;Uni Basel - Philosophisches Seminar;Universität Basel, Philosophisches Seminar;Steinengraben ;5;;4003;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5556308, 7.584964;U2001;;UNIBASV;UNIBASV;;;;
A239;Uni Basel - Bildungswissenschaften (IBW);Universität Basel, Institut für Bildungswissenschaften;Riehenstrasse ;154;;4058;Basel;ch;bibliothek.basel.isek.ph@fhnw.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.564686, 7.6060636;U2001;;UNIBASV;UNIBASV;;;;
A241;Uni Basel - Iberoromanistik;;Maiengasse ;51;;4056;Basel;ch;bibliothek-maiengasse@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A242;Uni Basel - Französisches Seminar;;Maiengasse ;51;;4056;Basel;ch;bibliothek-maiengasse@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A243;Uni Basel - Italianistik;;Maiengasse ;51;;4056;Basel;ch;bibliothek-maiengasse@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A245;Uni Basel - Afrikastudien;Zentrum für Afrikastudien;Petersgraben ;11;;4051;Basel;ch;zasb@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A246;Uni Basel - Slavisches Seminar;Universität Basel, Slavisches Seminar;Nadelberg ;8;;4051;Basel;ch;slavsem@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.558238, 7.585454;U2001;;UNIBASV;UNIBASV;;;;
A247;Uni Basel - Urban Studies;Basel Urban Studies;St. Johanns-Vorstadt ;19;;4055;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A248;Uni Basel - Soziologie;Universität Basel, Seminar für Soziologie;Petersgraben ;27;;4051;Basel;ch;bibliothek-soziologie@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5590491, 7.584574;U2001;;UNIBASV;UNIBASV;;;;
A250;Uni Basel - Sport, Bewegung, Gesundheit (DSBG);;Spiegelgasse ;5;;4051;Basel;ch;bibliothek-sport@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A251;Uni Basel - Frey-Grynaeisches Institut;;Heuberg ;33;;4051;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A252;Uni Basel - Theologische Fakultät;Bibliothek Theologische Fakultät Universität Basel;Nadelberg ;10;;4051;Basel;ch;bibliothek-theol@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5581501, 7.5854433;U2001;;UNIBASV;UNIBASV;;;;
A253;Archäologische Bodenforschung Basel-Stadt;Archäologische Bodenforschung;Petersgraben ;11;;4051;Basel;ch;arch.bodenforschung@bs.ch;Banderet;Annina;Frau;annina.banderet@bs.ch;g;;;ESW;8001;direkt;Anzahl Aufnahmen;offen;50;100;100;;ja;;;;;;;;;;;;nein;Gemeinwesen;nein;;;;;;;Archäologische Bodenforschung;;;
A255;Uni Basel - DUW IPNA;;Spalenring ;145;;4055;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5549757, 7.5763797;U2001;;UNIBASV;UNIBASV;;;;
A256;Augusta Raurica, Augst;Augusta Raurica, Augst;Giebenacherstr. ;17;;4302;Augst;ch;;Känel;Rudolf;Herr;rudolf.kaenel@bl.ch;g;;;CHROM;8007;direkt;Anzahl Aufnahmen;ja;75;150;150;;nein;"Bildungs-, Kultur- und Sportdirektion BL ; Zentrales Rechnungswesen";Rheinstrasse;31;BL51830001;4410;Liestal;ch;;;;;ja;;nein;;;;;;;Augusta Raurica;;;
A258;Schweizerisches Institut für Volkskunde / Uni Basel - Kulturwissenschaft, Europäische Ethnologie;Schweizerisches Institut für Volkskunde, Basel;Rheinsprung ;9;;4051;Basel;ch;sgv-sstp@volkskunde.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.558962, 7.5892249;U2001;;UNIBASV;UNIBASV;;;;
A259;Uni Basel - Kulturwissenschaft, Europäische Ethnologie;Universität Basel, Seminar für Kulturwissenschaft und Europäische Ethnologie;Rheinsprung ;9;;4051;Basel;ch;sgv-sstp@volkskunde.ch;;;;;g;;;ESW;8001;Über Leitbibliothek;;;;;;;;;;;;;;;;;;;;;;;47.558962, 7.5892249;;;;UNIBASV;;;;
A260;Uni Basel - Zahnmedizin;Universitäres Zentrum für Zahnmedizin, Universitätszahnkliniken, Benedikt Mäglin-Bibliothek;Hebelstrasse ;3;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.560111, 7.5839266;U2001;;UNIBASV;UNIBASV;;;;
A261;Uni Basel - DUW Evolutionsbiologie;;Vesalgasse ;1;;4051;Basel;ch;arafat.arifi@unibas.ch;;;;;g;;ja;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A264;Uni Basel - DUW MSD (MGU);;Vesalgasse ;1;;4051;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A265;Uni Basel - LearnTechNet;;Petersgraben ;35;;4003;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A266;Uni Basel - Europainstitut;;Gellertstr. ;27;;4052;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A268;Uni Basel - DUW NLU Naturschutzbiologie;;St. Johanns-Vorstadt ;10;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A274;Unispital Basel - Felix Platter-Spital;Universitätsspital Basel, Felix Blatter-Spital: Ärztebibliothek;Burgfelderstr. ;101;;4012;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5652347, 7.566335;U2001;;UNIBASV;UNIBASV;;;;
A276;Unispital Basel - Frauenklinik;Universitätsspital Basel, Universitäts-Frauenklinik;Spitalstr. ;21;;4031;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5624368, 7.5831898;U2001;;UNIBASV;UNIBASV;;;;
A278;Kantonsspital Baselland, Liestal;Kantonsspital Baselland;Rheinstrasse ;26;;4410;Liestal;ch;bh.bibliothek@ksbl.ch;;;;;g;;;ESW;8001;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;nein;BFK;nein;;47.532424, 7.593732;;;;;Kantonsspital Baselland;;;
A280;Unispital Basel - UKBB;;Spitalstrasse ;33;;4056;Basel;ch;;;;;;g;;;CHKBB;8008;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A281;Universitäre Psychiatrische Kliniken Basel (UPK) - KJPK;Universitäre Psychiatrische Kliniken Basel (UPK) - KJPK;Schaffhauserrheinweg ;55;;4058;Basel;ch;bibliothek@upkbs.ch;;;;;g;;;ESW;8001;direkt;Anzahl Aufnahmen;offen;0;0;0;;ja;;;;;;;;;;;;nein;BFK;nein;;;;;;;Universitäre Psychiatrische Klinik;Kinder- und Jugendpsychiatrie;;
A282;Unispital Basel - Augenklinik;;Mittlere Strasse ;91;;4031;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A284;Universitäre Psychiatrische Kliniken Basel (UPK);Universitätsspital Basel, Universitäre Psychiatrische Kliniken;Wilhelm Klein-Strasse ;27;;4025;Basel;ch;bibliothek@upkbs.ch;;;;;g;;;CHPKB;8009;direkt;Anzahl Aufnahmen;offen;100;200;200;;ja;;;;;;;;;;;;nein;BFK;nein;;47.5712303, 7.5658829;;;;;Universitäre Psychiatrische Klinik;;;
A286;Universitätsspital Basel;Universitätsspital Basel;Petersgraben ;4;;4031;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A288;Unispital Basel - Spital-Pharmazie;;Spitalstrasse ;26;;4031;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A296;Bibliothek für Gestaltung Basel, Münchenstein;Bibliothek für Gestaltung Basel;Freilager-Platz ;2;;4142;Münchenstein;ch;ausleihe-bfg@bs.ch;Brodbeck;Mirjam;Frau;mirjam.brodbeck@bs.ch;g;;;CHBGB;8010;direkt;Anzahl Aufnahmen;ja;425;850;850;;ja;;;;;;;;;;;;nein;Gemeinwesen;nein;;47.5572561, 7.5837568;;;;;Bibliothek für Gestaltung Basel;;;
A298;Historisches Museum Basel;Historisches Museum Basel;Steinenberg ;4;;4051;Basel;ch;;Suter;Daniel;Herr;daniel.suter@bs.ch;g;;;CHHMB;8011;direkt;Anzahl Aufnahmen;ja;200;400;400;;ja;;;;;;;;;;;;nein;Gemeinwesen;nein;;47.5539863, 7.5909246;;;;;Historisches Museum Basel;;;
A300;Kunstmuseum / Uni Basel - Kunsthistorisches Seminar;Kunstmuseum / Kunsthistorisches Seminar der Universität Basel;St. Albangraben ;10;;4010;Basel;ch;kunstmuseum-bibliothek@unibas.ch;;;;;g;;;CHKMB;8012;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5541359, 7.5934227;U2001;;UNIBASV;UNIBASV;;;;
A301;Schaulager, Münchenstein;Schaulager, Münchenstein;Ruchfeldstrasse ;19;;4142;Münchenstein;ch;bibliothek@schaulager.org;Hauser;Stephan;Herr;s.hauser@schaulager.org;g;;;CHSMB;8013;direkt;Anzahl Aufnahmen;ja;100;200;200;;ja;;;;;;;;;;;;ja;;nein;;47.5283084, 7.6107433;;;;;Schaulager;;;
A302;Naturhistorisches Museum, Basel;Naturhistorisches Museum, Basel;Augustinergasse ;2;;4001;Basel;ch;nmb@bs.ch;Gamarra;Patrizia;Frau;Patrizia.Gamarra@bs.ch;g;;;ESW;8001;direkt;Anzahl Aufnahmen;ja;75;150;150;;ja;;;;;;;;;;;;nein;Gemeinwesen;nein;;;;;;;Naturhistorisches Museum;;;
A304;Uni Basel - Pharmaziemuseum;Pharmazie-Historisches Museum, Basel;Totengässlein ;3;;4051;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5586147, 7.5861253;U2001;;UNIBASV;UNIBASV;;;;
