id / code;name;adresse - name;adresse - strasse;adresse - nummer;adresse - zusatz;adresse - plz;adresse - ort;adresse - country;email;kontakt - name;kontakt - vorname;kontakt - anrede;kontakt - email;korrespondenzsprache;bfscode;ipadresse;Zusage Kostenbeitrag ja/nein;Kostenbeitrag basiert auf;Beitrag 2018;Beitrag 2019;Beitrag 2020;Bemerkung Kostenbeitrag;Rechnungsadresse = Postadresse ja/nein;Rechnungadresse - name;Rechnungsadresse - strasse;Rechnungsadresse - nummer;Rechnungsadresse - zusatz;Rechnungsadresse - plz;Rechnungsadresse - ort;Rechnungsadresse - country;Kontakt Rechnung - Name;Kontakt Rechnung - Vorname;Kontakt Rechnung - Anrede;Kontakt Rechnung - mail;;mwst ja/nein;Grund Mehrwertsteuerbefreiung;e-rechnung ja/nein;Bemerkung Rechnungsstellung;Zugehörige Institutions (comma separated);relation type
ZHB;Zentral- und Hochschulbibliothek Luzern;;Sempacherstrasse;10;;6002;Luzern;ch;;Mumenthaler;Rudolf;Herr;;g;U2008;;ja;BfS-Zahlen;7033;14066;14066;;ja;;;;;;;;;;;;;nein;BFK;;Vereinbarung gemeinsam mit Verbund, Rechnungsstellung über IDSLUKB;LMSBI,LUHSI,LUHSW,LUKIL,LULES,LUNI3,LUPHL,LUSBI,LUUHL,LUZHB;Admin
UNINE;Bibliothèque publique et Universitaire de Neuchâtel;;Place Numa-Droz;3;;2000;Neuchâtel;ch;;Chatelain;Thierry;Herr;thierry.chatelain@unine.ch;f;U2010;;ja;BfS-Zahlen;2789;5579;5579;;ja;;;;;;;;;;;;;nein;BFK;;;CS003,RE31001,RE31002;Admin
UNINEV;Université de Neuchâtel, Information scientifique et bibliothèques;;Rue Emile-Argand;11;;2000;Neuchâtel;ch;;Gobat;Laurent;Herr;Laurent.Gobat@unine.ch;f;U3004;;ja;BfS-Zahlen;1787;3573;3573;;ja;;;;;;;;;;;;;nein;BFK;;;RE31011,RE31012,RE31013,RE31014,RE31016,RE31019,RE31020,RE31021,RE31220,RE31370;Admin
UNISG;Bibliothek der Universität St. Gallen;;Dufourstrasse;50;;9000;St. Gallen;ch;;Haas;Edeltraud;Frau;;g;U2011;;ja;BfS-Zahlen;2715;5430;5430;;ja;;;;;;;;;;;;;nein;BFK;;;HFR,HIVW,HIWI,HIWP,HKMU,HMLE,HSG,SGSBI;Admin
ETH;Bibliothek der Eidgenössische Technische Hochschule Zürich;;Rämistrasse;101;;8092;Zürich;ch;;Ball;Rafael;Herr;;g;U2012;;ja;BfS-Zahlen;14364;28729;28729;;ja;;;;;;;;;;;;;nein;BFK;;;E01,E03,E04,E05,E06,E09,E16,E18,E22,E28,E33,E46,E52,E53,E64,E72,E73,E76,E79,E98,MILAK;Admin
UZH;Hauptbibliothek Universität Zürich;;Strickhofstrasse;39;;8057;Zürich;ch;;Lochbühler;Wilfried;Herr;;g;U2013;;ja;BfS-Zahlen;10657;21314;21314;inkl. U3006, Verbund Universität Zürich;ja;;;;;;;;;;;;;nein;BFK;;;UFBI,UMBC,UPHZO,UANTH,UARCH,UBFB,UBME,UBOT,UCYB,UDS,UECON,UESZ,UEZEN,UFSW,UGEOG,UHS,UIFE,UIH,UINDO,UIPMZ,UIPZ,UIRG,UIRMZ,UISPM,UJUD,UKHIS,UKISP,UKOMP,UKPHS,ULEHR,ULING,UMHIZ,UMLS,UMWI,UOASA,UOASC,UOASJ,UOASK,UORI,UPHIL,UPHON,UPIM,UPSYC,UPUK,UROSE,USIUZ,USLZ,USUEZ,UTS,UUFG,UUSZB,UVET,UVK,UVMZ,UZKJP,UZSBI,UZWD,UZZM,UZZZZ,Z14,Z15,Z16,Z18,Z19;Admin
ZBZH;Zentralbibliothek Zürich;;Zähringerplatz;6;;8001;Zürich;ch;;Oesterheld;Christian;Herr;;g;U2014;;ja;BfS-Zahlen;16901;33803;33803;;ja;;;;;;;;;;;;;ja;;;;Z01,Z02,Z03,Z04,Z05,Z06,Z07,Z08,Z0SBI;Admin
UNIGE;Bibliothèque de l'Université de Genève;;Rue du Général Dufour;24;;1211;Genève 4;ch;;Fuselier;Marie;Frau;;f;U2015;;ja;BfS-Zahlen;5895;11791;11791;;ja;;;;;;;;;;;;;nein;BFK;;;RE61010,RE61011,RE61012,RE61014,RE61015,RE61016,RE61020,RE61021,RE61029,RE61030,RE61031,RE61032,RE61033,RE61034,RE61035,RE61036,RE61037,RE61038,RE61039,RE61040,RE61041,RE61042,RE61043,RE61044,RE61045,RE61046,RE61047,RE61048,RE61050,RE61064,RE61070,RE61072,RE61073,RE61080,RE61081,RE61083,RE61084,RE61088,RE61092,RE61095,RE61096,RE61097,RE61099;Admin
SNL;Schweizerische Nationalbibliothek;;Hallwylstrasse 15;;;3003;Bern;ch;;Doffey;Marie-Christine;Frau;;g;U1001;;ja;BfS-Zahlen;7082;14163;14163;;ja;;;;;;;;;;;;;ja;;;;CHARCH01,CHARCH02,CHARCH03,CS020,NB001;Admin
ABSM;Abbaye de St-Maurice;;Av. d'Agaune ;15;;1890;St-Maurice;ch;biblio@stmaurice.ch;;;;;f;;;offen;Anzahl Aufnahmen;475;950;950;Kontakt-Aufnahme war nicht möglich, daher von Bibliotheken-nicht-BFS zu Pauschalen umgewandelt;ja;;;;;;;;;;;;;ja;;;;RE11033,CS009;Admin
BZGS;BZGS Grundbildung, St. Gallen  / BZGS Höhere Fachschule, St. Gallen;;Grütlistrasse ;1;;9016;St. Gallen;ch;;Weh;Andreas;;;g;;;ja;freiwilliger Beitrag;50;100;100;Korrektur: Zwei Bibliotheken einer Institution zusammengeführt, zugesagter freiwilliger Beitrag für eine Institution;ja;;;;;;;;;;;;;ja;;;;BZGSG,BZGSF;Admin
BGER;Bundesgericht Lausanne / Luzern;;Av. du Tribunal fédéral ;29;;1005;Lausanne;ch;;Lewis;Michèle;Frau;Michele.Lewis@bger.ch;f;;;ja;recherchierte BfS-Zahlen;283;567;567;;ja;;;;;;;;;;;;;ja;;;;RE71040,RE71050;Admin
BIBDEL;Bibliothèque municipale de Delémont;;Rue de l'Hôpital;47;;2800;Delémont;ch;bibliotheque.municipale@delemont.ch;Migy;Romain;Herr;romain.migy@delemont.ch;f;U4022;;offen;BfS-Zahlen;1085;2170;2170;;ja;;;;;;;;;;;;;ja;;;;RE31051, RE31052;Admin
BIBNY;Bibliothèque de Nyon;;Av. Viollier ;10;;1260;Nyon;ch;bibliotheque.adultes@nyon.ch;;;;;f;U4038;;offen;BfS-Zahlen;690;1379;1379;;ja;;;;;;;;;;;;;ja;;;;nyonadu, nyonjeu;Admin
MEDVAL;Médiathèque Valais;DSSC/DGSK, Service de la culture/Dienststelle für Kultur;Rue de Lausanne;45;;1950;Sion;ch;;Elsig;Damian;Herr;Damian.elsig@admin.vs.ch;g;;;ja;freiwilliger Beitrag;4000;8000;8000;;ja;;;;;;;;;;;;;ja;;;;RE11018, RE11001, CS004, RE11002, RE11003;Admin
VADIANA;Kantonsbibliothek Vadiana - St. Gallen;;Notkerstrasse ;22;;9000;St. Gallen;ch;kb.vadiana@sg.ch;Abun-Nasr;Sonia;Frau;sonia.abun-nasr@sg.ch;g;U4047;;ja;BfS-Zahlen;2840;5681;5681;;ja;;;;;;;;;;;;;ja;;;;SGKBV, SGZFB, SGKBN, SGKHI;Admin
SBSG;Stadtbibliothek St.Gallen;;Gutenbergstrasse;2;;9000;St. Gallen;ch;info@bibliosg.ch;Oberholzer;Christa;Frau;christa.oberholzer@stadt.sg.ch;g;U4048;;nein;BfS-Zahlen;3186;6373;6373;;ja;;;;;;;;;;;;;ja;;;;SGFB, SGFBK;Admin
BIBGE;Bibliothèque de Genève;;Promenade des Bastions;;;1204;Genève;ch;info.bge@ville-ge.ch;Bachmann;Carine;Frau;direction.bge@ville-ge.ch;f;U4099;;ja;BfS-Zahlen;4750;9500;9500;;ja;;;;;;;;;;;;;ja;;;;RE61001, RE61007, RE61006, CS100, CS007;Admin
BISCH;Bibliotheken Schaffhausen;Bibliotheken Schaffhausen;Münsterplatz;1;;8200;Schaffhausen;ch;;Thiele;Oliver;Herr;;g;U4042;;ja;BfS-Zahlen;1961;3922;3922;;ja;;;;;;;;;;;;;ja;;;;;
BIBPDE;Bibliothèque du Pays d'Enhaut;;Grand Rue ;75;;1660;Château-d'Oex;ch;;;;;aescherrer@bluewin.ch;f;U6552;;offen;BfS-Zahlen;188;377;377;;ja;;;;;;;;;;;;;ja;;;;chatoex, moulins;Admin
BIBTS;Bibliothèque scolaire et intercommunale de Terre Sainte;;Chemin du Collège;;;1279;Chavannes-de-Bogis;ch;bibliocoppet@gmail.com;;;;;f;U6555;;offen;BfS-Zahlen;246;491;491;;ja;;;;;;;;;;;;;ja;;;;coppet, bogis, mies;Admin
BIBCOS;Bibliothèque communale, Cossonay;;Chemin des Publes;6;;1303;Penthalaz;ch;;Pittet;Anne Marie;Frau;anne-marie.pittet@vd.ch;f;U6557;;offen;BfS-Zahlen;117;234;234;;ja;;;;;;;;;;;;;ja;;;;coss, ptlz, penthaz;Admin
PHSG;Pädagogische Hochschule St.Gallen, medienverbund.phsg;;Notkerstrasse ;27;;9000;St. Gallen;ch;mediathek@phsg.ch;Scherer-Hug;August;Herr;August.Scherer-Hug@phsg.ch;g;U9004;;ja;BfS-Zahlen;1413;2827;2827;;ja;;;;;;;;;;;;;nein;BFK;;;HPHRS, HPHG, HPHS, HRDZJ, HRDZS, HRDZW, HRPMA, HPHOL, HPHNN;Admin
PHLU;PH Luzern, Pädagogisches Medienzentrum;;Sentimatt ;1;;6003;Luzern;ch;pmz@phlu.ch;Schuler;Irene;Frau;irene.schuler@phlu.ch;g;U9006;;ja;BfS-Zahlen;853;1706;1706;;ja;;;;;;;;;;;;;nein;BFK;;;LUPML, LUPIL;Admin
HEPBEJUNE;HEP-BEJUNE - Les médiathèques;;Route de Moutier ;14;;2800;Delémont;ch;mediatheque.sde@hep-bejune.ch;Crausaz-Chenal;Sandrine;Frau;sandrine.crausaz-chenal@hep-bejune.ch;f;U9007;;ja;BfS-Zahlen;1583;3166;3166;;ja;;;;;;;;;;;;;nein;BFK;;;RE31091, RE31008, RE31090;Admin
SUPSI;SUPSI, Zusammenschluss von DACD, DSAS, DTI, DSAN und DFA;;Via Pobiette;11;;6928;Manno;ch;segreteria@supsi.ch;;;;;g;U5002;;ja;BfS-Zahlen;777;1555;1555;;ja;;;;;;;;;;;;;nein;BFK;;;E34, LOASP, HPL;Admin
HSLUMU;Hochschule Luzern - Musik;;Zentralstrasse ;18;;6003;Luzern;ch;bibliothek.musik@hslu.ch;;;;;;U5004_105;;ja;BfS-Zahlen;625;1251;1251;;ja;;;;;;;;;;;;;nein;BFK;;keine Vereinbarung, läuft über IDSLU;LUMHS, LUMH1, LUMH3;Admin
FHNWCM;FHNW Campus Muttenz;;Gründenstrasse;40;;4132;Muttenz;ch;;Grossenbacher;Urs;Herr;urs.grossenbacher@fhnw.ch;g;;;ja;BfS-Zahlen;1452;2903;2903;;ja;;;;;;;;;;;;;nein;BFK;;;E44, N01, N02, N03, N10;Admin
ZHAW;Zürcher Hochschule für angewandte Wissenschaften (ZHAW);;Turbinenstrasse ;2;;8400;Winterthur;ch;winterthur.hsb@zhaw.ch;Wanke;Sylvia;Frau;wank@zhaw.ch;g;U5007_106;;ja;BfS-Zahlen;3345;6690;6690;;ja;;;;;;;;;;;;;nein;BFK;;;E51, E97, E57;Admin
PHZH;Pädagogische Hochschule Zürich (PHZH);;Lagerstrasse ;2;;8090;Zürich;ch;bibliothek@phzh.ch;Mojsilovic;Biljana;Frau;biljana.mojsilovic@phzh.ch;g;U5007_112;;ja;BfS-Zahlen;2132;4264;4264;;ja;;;;;;;;;;;;;nein;BFK;;;UPHZH, UPBEB;Admin
KBTG;Kantonsbibliothek Thurgau und Amtsbibliotheken;Kantonsbibliothek Thurgau;Promenadenstrasse;12;;8510;Frauenfeld;ch;kantonsbibliothek@tg.ch;Schlüssel;Rachel;Frau;Rachel.Schluessel@TG.CH;g;;;ja;Summe Verbundbibliotheken;1682;3364;3364;;ja;;;;;;;;;;;;;ja;;;;AA,ARC,DPF,KBS,LAB,NM;Verbund Kostenbeitrag
