bibcode;labelDE;name;address - strasse;adresse - nummer;adresse - zusatz;zip;city;country;mail;kontakt - name;kontakt - vorname;kontakt - anrede;kontakt - email;korrespondenzsprache;bfs code;worldcat ja/nein;WorldCat Symbol;CBS Library Code;Verrechnung Kostenbeitrag (Auswahl);Kostenbeitrag basiert auf;Zusage Kostenbeitrag ja/nein;Beitrag 2018;Beitrag 2019;Beitrag 2020;Bemerkung Kostenbeitrag;Rechnungsadresse = Postadresse ja/nein;Rechnungsadresse - name;Rechnungsadresse - strasse;Rechnungsadresse - nummer;Rechnungsadresse - zusatz;Rechnungsadresse - plz;Rechnungsadresse - ort;Rechnungsadresse - country;Kontakt Rechnung - Name;Kontakt Rechnung - Vorname;Kontakt Rechnung - Anrede;Kontakt Rechnung - mail;mwst ja/nein;Grund Mehrwertsteuerbefreiung;e-rechnung ja/nein;Bemerkung Rechnungsstellung;Koordinaten
A166;Pro Natura, Basel;Pro Natura, Basel;Dornacherstr. ;192;;4053;Basel;ch;mailbox@pronatura.ch;Steiner;Barbara;Frau;barbara.steiner@pronatura.ch;g;;ja;CHNTU;8005;direkt;Anzahl Aufnahmen;ja;75;150;150;;ja;;;;;;;;;;;;ja;;nein;;47.5417198, 7.5932377
A168;Uni Basel - Altertumswissenschaften - Archäologie Schweiz;Bibliothek Altertumswissenschaften, Archäologie Schweiz;Petersgraben ;51;;4051;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;;;;;;;ja;;;;;;;;;;;;;;;;47.5575739, 7.5845708
A178;Uni Basel - Anatomisches Institut;Universität Basel, Anatomisches Institut;Pestalozzistr. ;20;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5647568, 7.5797668
A186;Uni Basel - Biozentrum;Universität Basel, Biozentrum;Klingelbergstr. ;70;;4056;Basel;ch;bibliothek-biozentrum@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5639202, 7.5799639
A188;Uni Basel - DUW Botanik Pflanzenökologie;Universität Basel, Botanisches Institut, Abteilung Pflanzenökologie;Schönbeinstr. ;6;;4056;Basel;ch;sekretariat-botschoen@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5587546, 7.5810184
A189;Uni Basel - DUW Botanik Pflanzenphysiologie;Universität Basel, Botanisches Institut, Abteilung Pflanzenphysiologie;Hebelstr. ;1;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A190;Uni Basel - Deutsches Seminar;Universität Basel, Deutsches Seminar;Nadelberg ;4;;4051;Basel;ch;germa-bibliothek-dslw@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5587043, 7.585362
A191;Uni Basel - Nordistik;;Nadelberg ;6;;4051;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A192;Uni Basel - Englisches Seminar;Universität Basel, Englisches Seminar;Nadelberg ;6;;4051;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5583522, 7.5854644
A196;Uni Basel - Rechtsmedizin;Universität Basel, Institut für Rechtsmedizin;Pestalozzistr. ;22;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5646672, 7.5795141
A198;Uni Basel - DUW Geographie;Universität Basel, Departement Umweltwissenschaften, Geographie;Klingelbergstr. ;27;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.561734, 7.5805162
A200;Uni Basel - DUW Geologie, Paläontologie;Universität Basel, Geologisch-paläontologisches Institut;Bernoullistr. ;32;;4056;Basel;ch;bibliothek-geologie@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5604659, 7.5805261
A201;Uni Basel - DUW Umweltgeowissenschaften;Institut für Umweltgeowissenschaften, Basel;Bernoullistrasse ;30;;4056;Basel;ch;bibliothek-geologie@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5602573, 7.580559
A202;Uni Basel - Geschichte;Universität Basel, Departement Geschichte;Hirschgässlein ;21;;4051;Basel;ch;bibliothek-geschichte@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5507371, 7.5927619
A204;Uni Basel - Physik;Universität Basel, Departement für Physik;Klingelbergstr. ;82;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5647311, 7.5786904
A206;Uni Basel - Psychologie;Universität Basel, Fakultät für Psychologie;Missionsstrasse;60/62;;4055;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5612094, 7.5754524
A208;Uni Basel - Juristische Fakultät;Universität Basel, Juristische Fakultät;Peter Merian-Weg ;8;;4002;Basel;ch;biblio-ius@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5454028, 7.597017
A214;Kantonales Laboratorium, Basel;Kantonales Laboratorium, Basel;Kannenfeldstr. ;2;;4012;Basel;ch;sekr.kantonslabor@bs.ch;Hübner;Philipp;Herr;philipp.hübner@bs.ch;g;;ja;ESW;8001;direkt;Freiwilliger Beitrag;ja;25;50;50;;ja;;;;;;;;;;;;nein;Gemeinwesen;nein;;47.5621823, 7.574166
A216;Uni Basel - Mathematik;Mathematisches Institut, Basel;Spiegelgasse ;3;;4051;Basel;ch;bibliothek-math@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5601352, 7.5869421
A220;Uni Basel - Bio- und Medizinethik;Institut für Bio- und Medizinethik der Universität Basel;Bernoullistrasse ;28;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5601954, 7.5810569
A222;Uni Basel - Biomedizin;Universität Basel, Departement Biomedizin, Haus Petersplatz;Petersplatz ;10;;4003;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.558701, 7.582262
A224;Uni Basel - DUW Mineralogie, Petrographie;Mineralogisch-petrographisches Institut, Basel;Bernoullistr. ;30;;4056;Basel;ch;bibliothek-geologie@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5602573, 7.580559
A226;Uni Basel - Musikwissenschaftliches Seminar;Musikwissenschaftliches Seminar, Basel;Petersgraben ;27;;4051;Basel;ch;sekretariat-mws@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5590491, 7.584574
A228;Uni Basel - Chemie;Universität Basel, Departement Chemie;St. Johanns-Ring ;19;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5654135, 7.5796622
A230;Uni Basel - Nahoststudien;Uni Basel - Seminar für Nahoststudien;Maiengasse;51-53;;4056;Basel;ch;bibliothek-maiengasse@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5611345, 7.5779901
A232;Uni Basel - Pathologie;Universität Basel, Institut für Pathologie;Schönbeinstr. ;40;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5605725, 7.5816159
A235;Uni Basel - Pharmazeutische Biologie;;Klingelbergstrasse ;50;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A236;Uni Basel - Molekulare Pharmazie;;Klingelbergstrasse ;50;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A237;Uni Basel - Pharmazeutische Technologie;;Klingelbergstr. ;50;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A238;Uni Basel - Philosophisches Seminar;Universität Basel, Philosophisches Seminar;Steinengraben ;5;;4003;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5556308, 7.584964
A239;Uni Basel - Bildungswissenschaften (IBW);Universität Basel, Institut für Bildungswissenschaften;Riehenstrasse ;154;;4058;Basel;ch;bibliothek.basel.isek.ph@fhnw.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.564686, 7.6060636
A241;Uni Basel - Iberoromanistik;;Maiengasse ;51;;4056;Basel;ch;bibliothek-maiengasse@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A242;Uni Basel - Französisches Seminar;;Maiengasse ;51;;4056;Basel;ch;bibliothek-maiengasse@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A243;Uni Basel - Italianistik;;Maiengasse ;51;;4056;Basel;ch;bibliothek-maiengasse@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A245;Uni Basel - Afrikastudien;Zentrum für Afrikastudien;Petersgraben ;11;;4051;Basel;ch;zasb@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A246;Uni Basel - Slavisches Seminar;Universität Basel, Slavisches Seminar;Nadelberg ;8;;4051;Basel;ch;slavsem@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.558238, 7.585454
A247;Uni Basel - Urban Studies;Basel Urban Studies;St. Johanns-Vorstadt ;19;;4055;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A248;Uni Basel - Soziologie;Universität Basel, Seminar für Soziologie;Petersgraben ;27;;4051;Basel;ch;bibliothek-soziologie@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5590491, 7.584574
A250;Uni Basel - Sport, Bewegung, Gesundheit (DSBG);;Spiegelgasse ;5;;4051;Basel;ch;bibliothek-sport@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A251;Uni Basel - Frey-Grynaeisches Institut;;Heuberg ;33;;4051;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A252;Uni Basel - Theologische Fakultät;Bibliothek Theologische Fakultät Universität Basel;Nadelberg ;10;;4051;Basel;ch;bibliothek-theol@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5581501, 7.5854433
A253;Archäologische Bodenforschung Basel-Stadt;Archäologische Bodenforschung;Petersgraben ;11;;4051;Basel;ch;arch.bodenforschung@bs.ch;Banderet;Annina;Frau;annina.banderet@bs.ch;g;;ja;ESW;8001;direkt;Anzahl Aufnahmen;ja;50;100;100;;ja;;;;;;;;;;;;nein;Gemeinwesen;nein;;
A255;Uni Basel - DUW IPNA;;Spalenring ;145;;4055;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5549757, 7.5763797
A256;Augusta Raurica, Augst;Augusta Raurica, Augst;Giebenacherstr. ;17;;4302;Augst;ch;;Känel;Rudolf;Herr;rudolf.kaenel@bl.ch;g;;ja;CHROM;8007;direkt;Anzahl Aufnahmen;ja;75;150;150;;nein;Bildungs-, Kultur- und Sportdirektion BL / Zentrales Rechnungswesen;Rheinstrasse;31;BL51830001;4410;Liestal;ch;;;;;ja;;nein;;
A258;Schweizerisches Institut für Volkskunde / Uni Basel - Kulturwissenschaft, Europäische Ethnologie;Schweizerisches Institut für Volkskunde, Basel;Rheinsprung ;9;;4051;Basel;ch;sgv-sstp@volkskunde.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.558962, 7.5892249
A259;Uni Basel - Kulturwissenschaft, Europäische Ethnologie;Universität Basel, Seminar für Kulturwissenschaft und Europäische Ethnologie;Rheinsprung ;9;;4051;Basel;ch;sgv-sstp@volkskunde.ch;;;;;g;;ja;ESW;8001;Über Leitbibliothek;;;;;;;ja;;;;;;;;;;;;;;;;47.558962, 7.5892249
A260;Uni Basel - Zahnmedizin;Universitäres Zentrum für Zahnmedizin, Universitätszahnkliniken, Benedikt Mäglin-Bibliothek;Hebelstrasse ;3;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.560111, 7.5839266
A261;Uni Basel - DUW Evolutionsbiologie;;Vesalgasse ;1;;4051;Basel;ch;arafat.arifi@unibas.ch;;;;;g;;ja;;;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A264;Uni Basel - DUW MSD (MGU);;Vesalgasse ;1;;4051;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A265;Uni Basel - LearnTechNet;;Petersgraben ;35;;4003;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A266;Uni Basel - Europainstitut;;Gellertstr. ;27;;4052;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A268;Uni Basel - DUW NLU Naturschutzbiologie;;St. Johanns-Vorstadt ;10;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A274;Unispital Basel - Felix Platter-Spital;Universitätsspital Basel, Felix Blatter-Spital: Ärztebibliothek;Burgfelderstr. ;101;;4012;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5652347, 7.566335
A276;Unispital Basel - Frauenklinik;Universitätsspital Basel, Universitäts-Frauenklinik;Spitalstr. ;21;;4031;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5624368, 7.5831898
A278;Kantonsspital Baselland, Liestal;Kantonsspital Baselland;Rheinstrasse ;26;;4410;Liestal;ch;bh.bibliothek@ksbl.ch;;;;;g;;ja;ESW;8001;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;nein;BFK;nein;;47.532424, 7.593732
A280;Unispital Basel - UKBB;;Spitalstrasse ;33;;4056;Basel;ch;;;;;;g;;ja;CHKBB;8008;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A281;Universitäre Psychiatrische Kliniken Basel (UPK) - KJPK;Universitäre Psychiatrische Kliniken Basel (UPK) - KJPK;Schaffhauserrheinweg ;55;;4058;Basel;ch;bibliothek@upkbs.ch;;;;;g;;ja;ESW;8001;direkt;Anzahl Aufnahmen;offen;0;0;0;;ja;;;;;;;;;;;;nein;BFK;nein;;
A282;Unispital Basel - Augenklinik;;Mittlere Strasse ;91;;4031;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A284;Universitäre Psychiatrische Kliniken Basel (UPK);Universitätsspital Basel, Universitäre Psychiatrische Kliniken;Wilhelm Klein-Strasse ;27;;4025;Basel;ch;bibliothek@upkbs.ch;;;;;g;;ja;CHPKB;8009;direkt;Anzahl Aufnahmen;offen;100;200;200;;ja;;;;;;;;;;;;nein;BFK;nein;;47.5712303, 7.5658829
A286;Universitätsspital Basel;Universitätsspital Basel;Petersgraben ;4;;4031;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A288;Unispital Basel - Spital-Pharmazie;;Spitalstrasse ;26;;4031;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A296;Bibliothek für Gestaltung Basel, Münchenstein;Bibliothek für Gestaltung Basel;Freilager-Platz ;2;;4142;Münchenstein;ch;ausleihe-bfg@bs.ch;Brodbeck;Mirjam;Frau;mirjam.brodbeck@bs.ch;g;;ja;CHBGB;8010;direkt;Anzahl Aufnahmen;ja;425;850;850;;ja;;;;;;;;;;;;nein;Gemeinwesen;nein;;47.5572561, 7.5837568
A298;Historisches Museum Basel;Historisches Museum Basel;Steinenberg ;4;;4051;Basel;ch;;Suter;Daniel;Herr;daniel.suter@bs.ch;g;;ja;CHHMB;8011;direkt;Anzahl Aufnahmen;ja;200;400;400;;ja;;;;;;;;;;;;nein;Gemeinwesen;nein;;47.5539863, 7.5909246
A300;Kunstmuseum / Uni Basel - Kunsthistorisches Seminar;Kunstmuseum / Kunsthistorisches Seminar der Universität Basel;St. Albangraben ;10;;4010;Basel;ch;kunstmuseum-bibliothek@unibas.ch;;;;;g;;ja;CHKMB;8012;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5541359, 7.5934227
A301;Schaulager, Münchenstein;Schaulager, Münchenstein;Ruchfeldstrasse ;19;;4142;Münchenstein;ch;bibliothek@schaulager.org;Hauser;Stephan;Herr;s.hauser@schaulager.org;g;;ja;CHSMB;8013;direkt;Anzahl Aufnahmen;ja;100;200;200;;ja;;;;;;;;;;;;ja;;nein;;47.5283084, 7.6107433
A302;Naturhistorisches Museum, Basel;Naturhistorisches Museum, Basel;Augustinergasse ;2;;4001;Basel;ch;nmb@bs.ch;Gamarra;Patrizia;Frau;Patrizia.Gamarra@bs.ch;g;;ja;ESW;8001;direkt;Anzahl Aufnahmen;ja;75;150;150;;ja;;;;;;;;;;;;nein;Gemeinwesen;nein;;
A304;Uni Basel - Pharmaziemuseum;Pharmazie-Historisches Museum, Basel;Totengässlein ;3;;4051;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5586147, 7.5861253
A306;Sportmuseum Schweiz, Münchenstein;Sportmuseum Schweiz;Reinacherstrasse ;1;;4142;Münchenstein;ch;info@sportmuseum.ch;;;;;g;;ja;CHSPM;8110;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;47.530699, 7.605811
A310;Museum der Kulturen / Uni Basel - Ethnologie;Museum der Kulturen / Ethnologisches Seminar, Basel;Schlüsselberg ;17;;4051;Basel;ch;mkb.biblio@bs.ch;;;;;g;;ja;CHMKB;8014;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5569005, 7.5907204
A316;Basler Afrika Bibliographien;Basler Afrika Bibliographien;Klosterberg ;21;;4051;Basel;ch;library@baslerafrika.ch;;;;;g;;ja;ESW;8001;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;47.5519188, 7.5901084
A320;Karl-Barth-Archiv, Basel;Karl Barth-Archiv, Basel;Bruderholzallee ;26;;4059;Basel;ch;bartharchiv-theol@unibas.ch;Müller Boss;Franziska;Frau;;g;;ja;ESW;8001;direkt;Anzahl Aufnahmen;ja;75;150;150;;ja;;;;;;;;;;;;ja;;nein;;47.5345555, 7.5872171
A322;Uni Basel - Schweizerisches Tropen- und Public Health-Institut;Schweizerisches Tropen- und Public Health-Institut, Basel;Socinstr. ;57;;4051;Basel;ch;library@swisstph.ch;;;;;g;;ja;CHTRO;8015;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5559278, 7.5774318
A326;Kunsthalle Basel;Kunsthalle (Basler Kunstverein);Klostergasse ;5;;4051;Basel;ch;bibliothek@kunsthalle.ch;Vogel;Regina;Frau;rvogel@kunsthallebasel.ch;g;;ja;CHKNB;8016;direkt;Anzahl Aufnahmen;ja;100;200;200;;ja;;;;;;;;;;;;ja;;nein;;47.5531411, 7.5907362
A332;Musik Akademie Basel;Musik Akademie Basel Vera Oeri-Bibliothek;Leonhardsstr. ;6;;4051;Basel;ch;bibliothek@mab-bs.ch;Erni;Markus;Herr;;g;;ja;CHMSI;8017;direkt;recherchierte BfS-Zahlen;ja;569;1138;1138;;ja;;;;;;;;;;;;nein;BFK;nein;;47.5552787, 7.5860126
A342;Pädagogisches Zentrum PZ.BS, Basel;Pädagogisches Zentrum PZ.BS, Basel;Binningerstr. ;6;;4051;Basel;ch;bibliothek.pz@bs.ch;Meyer;Roger;Herr;Roger.Meyer@bs.ch;g;;ja;CHPDG;8018;direkt;Anzahl Aufnahmen;ja;400;800;800;;ja;;;;;;;;;;;;nein;Gemeinwesen;nein;;47.5504138, 7.5854413
A344;Schulpsychologischer Dienst, Basel;Schulpsychologischer Dienst, Basel;Austrasse ;67;;4051;Basel;ch;;Balmer;Maria;Frau;Maria.Balmer@bs.ch;g;;ja;ESW;8001;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;nein;Gemeinwesen;nein;;47.5541585, 7.5802414
A348;Staatsarchiv Basel-Stadt;Staatsarchiv Basel-Stadt;Martinsgasse ;2;;4001;Basel;ch;;Wichers;Hermann;Herr;Hermann.Wichers@bs.ch ;g;;ja;CHBAS;8019;direkt;Anzahl Aufnahmen;ja;300;600;600;;ja;;;;;;;;Bauer;Esther;;;nein;Gemeinwesen;nein;;47.558531, 7.5886789
A350;Uni Basel - Studentische Körperschaft;Studentische Körperschaft der Universität Basel Zeitungsecke;Petersplatz ;1;;4003;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5586129, 7.5827926
